ticker,origin,day,horizon,method,mean,median,lo,hi,observed
GS,2026-08-04,2026-08-11,5,filtered_state_vol20,1056.5971225050503,1055.7929802415056,937.9137939676162,1172.4643977292699,1033.87
GS,2026-08-04,2026-08-05,1,rw_fixed,1052.89401752425,1052.8924482245066,1022.025994226773,1084.1468760409398,1060.53
GS,2026-08-04,2026-08-06,2,rw_fixed,1052.9418149911535,1052.655793456144,1009.1167725058402,1097.3170367591722,1032.09
GS,2026-08-04,2026-08-07,3,rw_fixed,1053.313114075026,1052.9025143120355,999.8491737527348,1108.7533761488628,1040.0
GS,2026-08-04,2026-08-10,4,rw_fixed,1053.773700331737,1052.5282731251036,991.6001066848468,1119.1559017235684,1033.87
GS,2026-08-04,2026-08-11,5,rw_fixed,1054.1123179572312,1052.6870486455723,985.7329467058852,1126.339174570062,1033.87
GS,2026-08-04,2026-08-05,1,rw_vol20,1052.9516239362008,1052.7034609889859,997.9334687619014,1109.4790929397236,1060.53
GS,2026-08-04,2026-08-06,2,rw_vol20,1053.2847439267418,1052.2786088209689,975.412385975763,1133.7985452233856,1032.09
GS,2026-08-04,2026-08-07,3,rw_vol20,1054.2023440089233,1052.7215337218195,959.3849982342576,1155.1057314583873,1040.0
GS,2026-08-04,2026-08-10,4,rw_vol20,1055.2929944039583,1052.049710576725,945.218124943644,1174.639323945072,1033.87
GS,2026-08-04,2026-08-11,5,rw_vol20,1056.1396263802412,1052.3347149685924,935.19879054059,1188.2125450752999,1033.87
GS,2026-08-04,2026-08-05,1,unchanged,1053.13,1053.13,1053.13,1053.13,1060.53
GS,2026-08-04,2026-08-06,2,unchanged,1053.13,1053.13,1053.13,1053.13,1032.09
GS,2026-08-04,2026-08-07,3,unchanged,1053.13,1053.13,1053.13,1053.13,1040.0
GS,2026-08-04,2026-08-10,4,unchanged,1053.13,1053.13,1053.13,1053.13,1033.87
GS,2026-08-04,2026-08-11,5,unchanged,1053.13,1053.13,1053.13,1053.13,1033.87
LLY,2026-08-04,2026-08-05,1,legacy_stationary,1118.1985645957977,1117.8942196764806,1090.9266429012496,1144.3705204812088,1169.29
LLY,2026-08-04,2026-08-06,2,legacy_stationary,1118.8386045285806,1118.4818776372588,1079.5843747832257,1157.1836550664366,1191.84
LLY,2026-08-04,2026-08-07,3,legacy_stationary,1119.5277002411876,1119.0162748542912,1070.9742452975718,1170.6100335680453,1185.96
LLY,2026-08-04,2026-08-10,4,legacy_stationary,1120.4412884404137,1119.403653751201,1062.6710322708564,1182.8101519226727,1230.9
LLY,2026-08-04,2026-08-11,5,legacy_stationary,1121.3554942736614,1119.370663512207,1057.8433832672797,1191.7846115886848,1212.92
LLY,2026-08-04,2026-08-05,1,stationary_transition,1118.0475678615035,1117.5686351714717,1090.9080256269433,1144.012188765964,1169.29
LLY,2026-08-04,2026-08-06,2,stationary_transition,1118.4866311280132,1117.927877847746,1078.1490216904776,1157.181724152213,1191.84
LLY,2026-08-04,2026-08-07,3,stationary_transition,1119.24698791102,1118.4434133129248,1069.6739106570385,1171.7573577066898,1185.96
LLY,2026-08-04,2026-08-10,4,stationary_transition,1120.1278900994143,1118.8316781325248,1062.0392146096794,1183.599648158675,1230.9
LLY,2026-08-04,2026-08-11,5,stationary_transition,1121.1400207143056,1119.9924615932596,1055.0513674995343,1191.108419251848,1212.92
LLY,2026-08-04,2026-08-05,1,filtered_state,1118.0417526031915,1117.537054025117,1090.6956953274519,1144.297906780188,1169.29
LLY,2026-08-04,2026-08-06,2,filtered_state,1118.4753548066667,1117.9587379156615,1078.2920152686008,1157.181724152213,1191.84
LLY,2026-08-04,2026-08-07,3,filtered_state,1119.2790411107208,1118.4308068446521,1069.6885368607639,1171.9380466616897,1185.96
LLY,2026-08-04,2026-08-10,4,filtered_state,1120.1949184738062,1118.7970781898698,1062.9699149954254,1183.8559207052008,1230.9
