period,ticker,session,spot
training,GS,2014-04-11,152.72
training,GS,2014-04-14,154.74
training,GS,2014-04-15,154.92
training,GS,2014-04-16,157.22
training,GS,2014-04-17,157.44
training,GS,2014-04-21,157.8
training,GS,2014-04-22,160.46
training,GS,2014-04-23,160.45
training,GS,2014-04-24,160.85
training,GS,2014-04-25,158.24
training,GS,2014-04-28,156.54
training,GS,2014-04-29,158.24
training,GS,2014-04-30,159.82
training,GS,2014-05-01,160.37
training,GS,2014-05-02,158.88
training,GS,2014-05-05,156.35
training,GS,2014-05-06,154.54
training,GS,2014-05-07,155.52
training,GS,2014-05-08,157.4
training,GS,2014-05-09,157.2
training,GS,2014-05-12,159.55
training,GS,2014-05-13,160.28
training,GS,2014-05-14,159.45
training,GS,2014-05-15,156.64
training,GS,2014-05-16,156.43
training,GS,2014-05-19,157.67
training,GS,2014-05-20,156.35
training,GS,2014-05-21,159.35
training,GS,2014-05-22,159.85
training,GS,2014-05-23,160.16
training,GS,2014-05-27,161.77
training,GS,2014-05-28,161.19
training,GS,2014-05-29,160.74
training,GS,2014-05-30,159.81
training,GS,2014-06-02,160.03
training,GS,2014-06-03,161.8
training,GS,2014-06-04,162.39
training,GS,2014-06-05,162.58
training,GS,2014-06-06,166.19
training,GS,2014-06-09,166.0
training,GS,2014-06-10,166.36
training,GS,2014-06-11,165.43
training,GS,2014-06-12,165.96
training,GS,2014-06-13,165.89
training,GS,2014-06-16,165.85
training,GS,2014-06-17,168.22
training,GS,2014-06-18,169.86
training,GS,2014-06-19,169.73
training,GS,2014-06-20,169.84
training,GS,2014-06-23,170.24
training,GS,2014-06-24,168.23
training,GS,2014-06-25,168.38
training,GS,2014-06-26,168.01
training,GS,2014-06-27,166.78
training,GS,2014-06-30,167.44
training,GS,2014-07-01,166.81
training,GS,2014-07-02,166.89
training,GS,2014-07-03,169.46
training,GS,2014-07-07,167.78
training,GS,2014-07-08,164.91
training,GS,2014-07-09,164.67
training,GS,2014-07-10,163.42
training,GS,2014-07-11,164.8
training,GS,2014-07-14,167.0
training,GS,2014-07-15,169.17
training,GS,2014-07-16,170.47
training,GS,2014-07-17,170.14
training,GS,2014-07-18,171.47
training,GS,2014-07-21,171.72
training,GS,2014-07-22,175.02
training,GS,2014-07-23,176.82
training,GS,2014-07-24,176.26
training,GS,2014-07-25,175.4
training,GS,2014-07-28,175.95
training,GS,2014-07-29,175.54
training,GS,2014-07-30,175.76
training,GS,2014-07-31,172.87
training,GS,2014-08-01,170.25
training,GS,2014-08-04,171.69
training,GS,2014-08-05,169.42
training,GS,2014-08-06,169.74
training,GS,2014-08-07,169.1
training,GS,2014-08-08,172.26
training,GS,2014-08-11,172.46
training,GS,2014-08-12,172.33
training,GS,2014-08-13,172.37
training,GS,2014-08-14,172.73
training,GS,2014-08-15,171.9
training,GS,2014-08-18,174.55
training,GS,2014-08-19,173.96
training,GS,2014-08-20,174.03
training,GS,2014-08-21,175.15
training,GS,2014-08-22,175.47
training,GS,2014-08-25,177.87
training,GS,2014-08-26,177.9
training,GS,2014-08-27,177.81
training,GS,2014-08-28,177.65
training,GS,2014-08-29,179.11
training,GS,2014-09-02,179.77
training,GS,2014-09-03,179.6
training,GS,2014-09-04,180.08
training,GS,2014-09-05,179.75
training,GS,2014-09-08,180.11
training,GS,2014-09-09,177.4
training,GS,2014-09-10,179.87
training,GS,2014-09-11,181.0
training,GS,2014-09-12,183.17
training,GS,2014-09-15,183.98
training,GS,2014-09-16,184.04
training,GS,2014-09-17,184.82
training,GS,2014-09-18,187.89
training,GS,2014-09-19,186.2
training,GS,2014-09-22,185.29
training,GS,2014-09-23,185.09
training,GS,2014-09-24,187.81
training,GS,2014-09-25,184.09
training,GS,2014-09-26,185.12
training,GS,2014-09-29,183.83
training,GS,2014-09-30,183.57
training,GS,2014-10-01,180.7
training,GS,2014-10-02,182.88
training,GS,2014-10-03,188.07
training,GS,2014-10-06,187.48
training,GS,2014-10-07,183.8
training,GS,2014-10-08,186.64
training,GS,2014-10-09,181.27
training,GS,2014-10-10,180.38
training,GS,2014-10-13,178.77
training,GS,2014-10-14,178.7
training,GS,2014-10-15,177.24
training,GS,2014-10-16,172.58
training,GS,2014-10-17,176.91
training,GS,2014-10-20,177.84
training,GS,2014-10-21,180.18
training,GS,2014-10-22,176.83
training,GS,2014-10-23,180.06
training,GS,2014-10-24,183.35
training,GS,2014-10-27,183.91
training,GS,2014-10-28,186.32
training,GS,2014-10-29,186.08
training,GS,2014-10-30,186.97
training,GS,2014-10-31,189.99
training,GS,2014-11-03,190.83
training,GS,2014-11-04,190.27
training,GS,2014-11-05,189.84
training,GS,2014-11-06,191.0
training,GS,2014-11-07,190.64
training,GS,2014-11-10,191.8
training,GS,2014-11-11,191.88
training,GS,2014-11-12,190.18
training,GS,2014-11-13,190.24
training,GS,2014-11-14,189.98
training,GS,2014-11-17,189.93
training,GS,2014-11-18,189.64
training,GS,2014-11-19,189.19
training,GS,2014-11-20,189.75
training,GS,2014-11-21,189.59
training,GS,2014-11-24,190.07
training,GS,2014-11-25,188.86
training,GS,2014-11-26,188.52
training,GS,2014-11-28,188.41
training,GS,2014-12-01,188.2
training,GS,2014-12-02,190.19
training,GS,2014-12-03,190.95
training,GS,2014-12-04,191.95
training,GS,2014-12-05,195.45
training,GS,2014-12-08,196.62
training,GS,2014-12-09,196.89
training,GS,2014-12-10,192.0
training,GS,2014-12-11,193.54
training,GS,2014-12-12,188.82
training,GS,2014-12-15,185.54
training,GS,2014-12-16,183.31
training,GS,2014-12-17,185.03
training,GS,2014-12-18,191.61
training,GS,2014-12-19,193.28
training,GS,2014-12-22,194.44
training,GS,2014-12-23,195.5
training,GS,2014-12-24,195.89
training,GS,2014-12-26,195.45
training,GS,2014-12-29,196.19
training,GS,2014-12-30,195.71
training,GS,2014-12-31,193.83
training,GS,2015-01-02,194.41
training,GS,2015-01-05,188.34
training,GS,2015-01-06,184.53
training,GS,2015-01-07,187.28
training,GS,2015-01-08,190.27
training,GS,2015-01-09,187.35
training,GS,2015-01-12,185.07
training,GS,2015-01-13,184.93
training,GS,2015-01-14,180.23
training,GS,2015-01-15,178.49
training,GS,2015-01-16,177.23
training,GS,2015-01-20,175.63
training,GS,2015-01-21,177.15
training,GS,2015-01-22,182.04
training,GS,2015-01-23,180.49
training,GS,2015-01-26,180.42
training,GS,2015-01-27,176.49
training,GS,2015-01-28,173.05
training,GS,2015-01-29,175.99
training,GS,2015-01-30,172.41
training,GS,2015-02-02,175.49
training,GS,2015-02-03,180.24
training,GS,2015-02-04,178.78
training,GS,2015-02-05,180.77
training,GS,2015-02-06,183.43
training,GS,2015-02-09,182.22
training,GS,2015-02-10,184.56
training,GS,2015-02-11,187.65
training,GS,2015-02-12,189.78
training,GS,2015-02-13,189.0
training,GS,2015-02-17,190.02
training,GS,2015-02-18,188.67
training,GS,2015-02-19,189.11
training,GS,2015-02-20,191.51
training,GS,2015-02-23,190.31
training,GS,2015-02-24,192.22
training,GS,2015-02-25,191.72
training,GS,2015-02-26,192.2
training,GS,2015-02-27,189.79
training,GS,2015-03-02,191.79
training,GS,2015-03-03,191.27
training,GS,2015-03-04,189.67
training,GS,2015-03-05,190.08
training,GS,2015-03-06,186.91
training,GS,2015-03-09,187.93
training,GS,2015-03-10,182.71
training,GS,2015-03-11,184.18
training,GS,2015-03-12,189.95
training,GS,2015-03-13,189.34
training,GS,2015-03-16,191.9
training,GS,2015-03-17,190.57
training,GS,2015-03-18,192.32
training,GS,2015-03-19,189.97
training,GS,2015-03-20,193.13
training,GS,2015-03-23,191.96
training,GS,2015-03-24,191.28
training,GS,2015-03-25,187.35
training,GS,2015-03-26,187.24
training,GS,2015-03-27,188.06
training,GS,2015-03-30,191.02
training,GS,2015-03-31,187.97
training,GS,2015-04-01,192.23
training,GS,2015-04-02,191.55
training,GS,2015-04-06,192.05
training,GS,2015-04-07,192.39
training,GS,2015-04-08,192.56
training,GS,2015-04-09,194.89
training,GS,2015-04-10,195.64
training,GS,2015-04-13,195.58
training,GS,2015-04-14,197.72
training,GS,2015-04-15,201.1
training,GS,2015-04-16,200.21
training,GS,2015-04-17,197.35
training,GS,2015-04-20,198.1
training,GS,2015-04-21,196.84
training,GS,2015-04-22,198.32
training,GS,2015-04-23,199.31
training,GS,2015-04-24,197.99
training,GS,2015-04-27,196.52
training,GS,2015-04-28,197.49
training,GS,2015-04-29,198.56
training,GS,2015-04-30,196.42
training,GS,2015-05-01,197.53
training,GS,2015-05-04,199.3
training,GS,2015-05-05,197.29
training,GS,2015-05-06,196.25
training,GS,2015-05-07,197.39
training,GS,2015-05-08,200.5
training,GS,2015-05-11,201.73
training,GS,2015-05-12,200.53
training,GS,2015-05-13,201.43
training,GS,2015-05-14,202.62
training,GS,2015-05-15,202.97
training,GS,2015-05-18,204.66
training,GS,2015-05-19,205.4
training,GS,2015-05-20,205.08
training,GS,2015-05-21,204.95
training,GS,2015-05-22,207.8
training,GS,2015-05-26,206.38
training,GS,2015-05-27,209.06
training,GS,2015-05-28,208.48
training,GS,2015-05-29,206.19
training,GS,2015-06-01,207.81
training,GS,2015-06-02,206.43
training,GS,2015-06-03,208.29
training,GS,2015-06-04,208.87
training,GS,2015-06-05,210.45
training,GS,2015-06-08,209.79
training,GS,2015-06-09,209.02
training,GS,2015-06-10,213.13
training,GS,2015-06-11,213.94
training,GS,2015-06-12,213.06
training,GS,2015-06-15,211.76
training,GS,2015-06-16,213.56
training,GS,2015-06-17,212.93
training,GS,2015-06-18,214.6
training,GS,2015-06-19,213.19
training,GS,2015-06-22,216.51
training,GS,2015-06-23,218.4
training,GS,2015-06-24,214.43
training,GS,2015-06-25,212.82
training,GS,2015-06-26,213.17
training,GS,2015-06-29,207.65
training,GS,2015-06-30,208.79
training,GS,2015-07-01,209.94
training,GS,2015-07-02,209.2
training,GS,2015-07-06,208.04
training,GS,2015-07-07,208.21
training,GS,2015-07-08,204.06
training,GS,2015-07-09,204.81
training,GS,2015-07-10,207.19
training,GS,2015-07-13,210.12
training,GS,2015-07-14,212.16
training,GS,2015-07-15,212.96
training,GS,2015-07-16,211.18
training,GS,2015-07-17,212.46
training,GS,2015-07-20,212.39
training,GS,2015-07-21,211.5
training,GS,2015-07-22,213.25
training,GS,2015-07-23,211.05
training,GS,2015-07-24,207.35
training,GS,2015-07-27,205.02
training,GS,2015-07-28,206.24
training,GS,2015-07-29,206.84
training,GS,2015-07-30,207.2
training,GS,2015-07-31,205.07
training,GS,2015-08-03,204.69
training,GS,2015-08-04,205.17
training,GS,2015-08-05,205.7
training,GS,2015-08-06,205.09
training,GS,2015-08-07,203.44
training,GS,2015-08-10,205.97
training,GS,2015-08-11,201.7
training,GS,2015-08-12,201.13
training,GS,2015-08-13,200.74
training,GS,2015-08-14,202.02
training,GS,2015-08-17,202.57
training,GS,2015-08-18,201.18
training,GS,2015-08-19,200.95
training,GS,2015-08-20,196.75
training,GS,2015-08-21,187.74
training,GS,2015-08-24,179.46
training,GS,2015-08-25,178.22
training,GS,2015-08-26,184.4
training,GS,2015-08-27,189.21
training,GS,2015-08-28,187.75
training,GS,2015-08-31,188.6
training,GS,2015-09-01,182.12
training,GS,2015-09-02,184.51
training,GS,2015-09-03,185.06
training,GS,2015-09-04,180.38
training,GS,2015-09-08,185.88
training,GS,2015-09-09,185.68
training,GS,2015-09-10,185.91
training,GS,2015-09-11,185.27
training,GS,2015-09-14,183.94
training,GS,2015-09-15,187.45
training,GS,2015-09-16,188.64
training,GS,2015-09-17,186.45
training,GS,2015-09-18,180.94
training,GS,2015-09-21,183.35
training,GS,2015-09-22,179.72
training,GS,2015-09-23,179.41
training,GS,2015-09-24,176.91
training,GS,2015-09-25,179.83
training,GS,2015-09-28,173.02
training,GS,2015-09-29,171.86
training,GS,2015-09-30,173.76
training,GS,2015-10-01,176.02
training,GS,2015-10-02,177.01
training,GS,2015-10-05,180.7
training,GS,2015-10-06,180.32
training,GS,2015-10-07,182.23
training,GS,2015-10-08,181.07
training,GS,2015-10-09,179.19
training,GS,2015-10-12,180.23
training,GS,2015-10-13,180.97
training,GS,2015-10-14,179.51
training,GS,2015-10-15,184.96
training,GS,2015-10-16,185.18
training,GS,2015-10-19,185.74
training,GS,2015-10-20,185.51
training,GS,2015-10-21,179.7
training,GS,2015-10-22,183.56
training,GS,2015-10-23,185.5
training,GS,2015-10-26,187.01
training,GS,2015-10-27,186.31
training,GS,2015-10-28,191.32
training,GS,2015-10-29,189.89
training,GS,2015-10-30,187.5
training,GS,2015-11-02,189.68
training,GS,2015-11-03,190.69
training,GS,2015-11-04,191.65
training,GS,2015-11-05,192.02
training,GS,2015-11-06,199.17
training,GS,2015-11-09,196.76
training,GS,2015-11-10,197.81
training,GS,2015-11-11,197.39
training,GS,2015-11-12,192.77
training,GS,2015-11-13,190.39
training,GS,2015-11-16,192.16
training,GS,2015-11-17,190.57
training,GS,2015-11-18,193.66
training,GS,2015-11-19,193.03
training,GS,2015-11-20,191.47
training,GS,2015-11-23,189.19
training,GS,2015-11-24,188.67
training,GS,2015-11-25,189.15
training,GS,2015-11-27,190.47
training,GS,2015-11-30,190.02
training,GS,2015-12-01,193.07
training,GS,2015-12-02,190.26
training,GS,2015-12-03,185.2
training,GS,2015-12-04,189.99
training,GS,2015-12-07,185.49
training,GS,2015-12-08,182.92
training,GS,2015-12-09,180.71
training,GS,2015-12-10,182.11
training,GS,2015-12-11,176.56
training,GS,2015-12-14,176.4
training,GS,2015-12-15,182.01
training,GS,2015-12-16,186.21
training,GS,2015-12-17,182.61
training,GS,2015-12-18,175.49
training,GS,2015-12-21,177.75
training,GS,2015-12-22,180.05
training,GS,2015-12-23,182.95
training,GS,2015-12-24,182.47
training,GS,2015-12-28,181.62
training,GS,2015-12-29,183.53
training,GS,2015-12-30,182.01
training,GS,2015-12-31,180.23
training,GS,2016-01-04,177.14
training,GS,2016-01-05,174.09
training,GS,2016-01-06,169.84
training,GS,2016-01-07,164.62
training,GS,2016-01-08,163.94
training,GS,2016-01-11,165.73
training,GS,2016-01-12,165.71
training,GS,2016-01-13,158.99
training,GS,2016-01-14,161.39
training,GS,2016-01-15,155.61
training,GS,2016-01-19,156.82
training,GS,2016-01-20,153.75
training,GS,2016-01-21,151.65
training,GS,2016-01-22,156.86
training,GS,2016-01-25,151.12
training,GS,2016-01-26,154.45
training,GS,2016-01-27,153.72
training,GS,2016-01-28,157.06
training,GS,2016-01-29,161.56
training,GS,2016-02-01,159.65
training,GS,2016-02-02,151.7
training,GS,2016-02-03,152.68
training,GS,2016-02-04,156.49
training,GS,2016-02-05,156.47
training,GS,2016-02-08,149.25
training,GS,2016-02-09,148.25
training,GS,2016-02-10,147.23
training,GS,2016-02-11,140.69
training,GS,2016-02-12,146.13
training,GS,2016-02-16,149.02
training,GS,2016-02-17,150.94
training,GS,2016-02-18,147.73
training,GS,2016-02-19,146.91
training,GS,2016-02-22,148.79
training,GS,2016-02-23,144.91
training,GS,2016-02-24,145.56
training,GS,2016-02-25,148.25
training,GS,2016-02-26,150.25
training,GS,2016-02-29,149.53
training,GS,2016-03-01,154.65
training,GS,2016-03-02,154.2
training,GS,2016-03-03,155.33
training,GS,2016-03-04,156.84
training,GS,2016-03-07,155.35
training,GS,2016-03-08,151.6
training,GS,2016-03-09,149.91
training,GS,2016-03-10,151.02
training,GS,2016-03-11,153.94
training,GS,2016-03-14,153.49
training,GS,2016-03-15,152.03
training,GS,2016-03-16,150.54
training,GS,2016-03-17,152.91
training,GS,2016-03-18,157.6
training,GS,2016-03-21,156.29
training,GS,2016-03-22,154.2
training,GS,2016-03-23,154.08
training,GS,2016-03-24,153.0
training,GS,2016-03-28,153.84
training,GS,2016-03-29,155.03
training,GS,2016-03-30,156.5
training,GS,2016-03-31,156.98
training,GS,2016-04-01,159.82
training,GS,2016-04-04,157.77
training,GS,2016-04-05,155.35
training,GS,2016-04-06,155.19
training,GS,2016-04-07,150.41
training,GS,2016-04-08,150.28
training,GS,2016-04-11,152.2
training,GS,2016-04-12,154.31
training,GS,2016-04-13,159.85
training,GS,2016-04-14,160.91
training,GS,2016-04-15,158.52
training,GS,2016-04-18,159.02
training,GS,2016-04-19,162.65
training,GS,2016-04-20,166.98
training,GS,2016-04-21,165.32
training,GS,2016-04-22,166.75
training,GS,2016-04-25,165.09
training,GS,2016-04-26,165.84
training,GS,2016-04-27,166.92
training,GS,2016-04-28,164.29
training,GS,2016-04-29,164.11
training,GS,2016-05-02,166.18
training,GS,2016-05-03,163.14
training,GS,2016-05-04,160.07
training,GS,2016-05-05,159.53
training,GS,2016-05-06,158.85
training,GS,2016-05-09,157.51
training,GS,2016-05-10,161.42
training,GS,2016-05-11,159.42
training,GS,2016-05-12,158.07
training,GS,2016-05-13,155.34
training,GS,2016-05-16,155.38
training,GS,2016-05-17,154.65
training,GS,2016-05-18,159.94
training,GS,2016-05-19,154.7
training,GS,2016-05-20,154.51
training,GS,2016-05-23,155.45
training,GS,2016-05-24,157.59
training,GS,2016-05-25,161.25
training,GS,2016-05-26,159.22
training,GS,2016-05-27,159.53
training,GS,2016-05-31,159.48
training,GS,2016-06-01,159.97
training,GS,2016-06-02,159.28
training,GS,2016-06-03,155.67
training,GS,2016-06-06,157.06
training,GS,2016-06-07,155.17
training,GS,2016-06-08,154.64
training,GS,2016-06-09,153.17
training,GS,2016-06-10,149.89
training,GS,2016-06-13,148.63
training,GS,2016-06-14,146.19
training,GS,2016-06-15,146.16
training,GS,2016-06-16,146.63
training,GS,2016-06-17,145.64
training,GS,2016-06-20,147.75
training,GS,2016-06-21,148.35
training,GS,2016-06-22,148.14
training,GS,2016-06-23,152.66
training,GS,2016-06-24,141.86
training,GS,2016-06-27,139.51
training,GS,2016-06-28,142.41
training,GS,2016-06-29,145.5
training,GS,2016-06-30,148.58
training,GS,2016-07-01,148.25
training,GS,2016-07-05,144.45
training,GS,2016-07-06,145.58
training,GS,2016-07-07,147.0
training,GS,2016-07-08,150.38
training,GS,2016-07-11,152.19
training,GS,2016-07-12,156.92
training,GS,2016-07-13,157.92
training,GS,2016-07-14,162.54
training,GS,2016-07-15,161.64
training,GS,2016-07-18,163.33
training,GS,2016-07-19,161.41
training,GS,2016-07-20,161.77
training,GS,2016-07-21,160.05
training,GS,2016-07-22,160.41
training,GS,2016-07-25,160.51
training,GS,2016-07-26,161.16
training,GS,2016-07-27,160.99
training,GS,2016-07-28,160.53
training,GS,2016-07-29,158.81
training,GS,2016-08-01,158.18
training,GS,2016-08-02,156.06
training,GS,2016-08-03,158.34
training,GS,2016-08-04,158.05
training,GS,2016-08-05,162.09
training,GS,2016-08-08,162.83
training,GS,2016-08-09,163.44
training,GS,2016-08-10,162.19
training,GS,2016-08-11,163.86
training,GS,2016-08-12,163.25
training,GS,2016-08-15,165.55
training,GS,2016-08-16,165.65
training,GS,2016-08-17,165.67
training,GS,2016-08-18,166.06
training,GS,2016-08-19,166.23
training,GS,2016-08-22,166.26
training,GS,2016-08-23,166.08
training,GS,2016-08-24,165.3
training,GS,2016-08-25,165.9
training,GS,2016-08-26,165.97
training,GS,2016-08-29,166.87
training,GS,2016-08-30,169.37
training,GS,2016-08-31,169.46
training,GS,2016-09-01,168.51
training,GS,2016-09-02,169.18
training,GS,2016-09-06,169.33
training,GS,2016-09-07,169.67
training,GS,2016-09-08,171.66
training,GS,2016-09-09,168.57
training,GS,2016-09-12,171.06
training,GS,2016-09-13,167.0
training,GS,2016-09-14,166.16
training,GS,2016-09-15,168.08
training,GS,2016-09-16,166.0
training,GS,2016-09-19,166.21
training,GS,2016-09-20,166.47
training,GS,2016-09-21,167.03
training,GS,2016-09-22,168.02
training,GS,2016-09-23,165.13
training,GS,2016-09-26,161.48
training,GS,2016-09-27,162.89
training,GS,2016-09-28,163.45
training,GS,2016-09-29,158.95
training,GS,2016-09-30,161.27
training,GS,2016-10-03,161.07
training,GS,2016-10-04,162.27
training,GS,2016-10-05,166.4
training,GS,2016-10-06,167.15
training,GS,2016-10-07,169.83
training,GS,2016-10-10,171.04
training,GS,2016-10-11,169.04
training,GS,2016-10-12,169.3
training,GS,2016-10-13,167.42
training,GS,2016-10-14,170.52
training,GS,2016-10-17,169.0
training,GS,2016-10-18,172.63
training,GS,2016-10-19,174.51
training,GS,2016-10-20,174.51
training,GS,2016-10-21,174.67
training,GS,2016-10-24,175.12
training,GS,2016-10-25,175.55
training,GS,2016-10-26,177.07
training,GS,2016-10-27,177.75
training,GS,2016-10-28,177.14
training,GS,2016-10-31,178.24
training,GS,2016-11-01,178.06
training,GS,2016-11-02,176.58
training,GS,2016-11-03,176.21
training,GS,2016-11-04,175.92
training,GS,2016-11-07,181.48
training,GS,2016-11-08,181.92
training,GS,2016-11-09,192.63
training,GS,2016-11-10,200.87
training,GS,2016-11-11,203.94
training,GS,2016-11-14,209.18
training,GS,2016-11-15,211.19
training,GS,2016-11-16,206.26
training,GS,2016-11-17,209.63
training,GS,2016-11-18,210.35
training,GS,2016-11-21,211.08
training,GS,2016-11-22,211.11
training,GS,2016-11-23,212.31
training,GS,2016-11-25,211.38
training,GS,2016-11-28,210.35
training,GS,2016-11-29,211.75
training,GS,2016-11-30,219.29
training,GS,2016-12-01,226.63
training,GS,2016-12-02,223.36
training,GS,2016-12-05,228.55
training,GS,2016-12-06,231.38
training,GS,2016-12-07,235.56
training,GS,2016-12-08,241.45
training,GS,2016-12-09,241.85
training,GS,2016-12-12,237.17
training,GS,2016-12-13,238.55
training,GS,2016-12-14,239.93
training,GS,2016-12-15,243.0
training,GS,2016-12-16,238.9
training,GS,2016-12-19,239.07
training,GS,2016-12-20,243.09
training,GS,2016-12-21,241.44
training,GS,2016-12-22,240.12
training,GS,2016-12-23,240.97
training,GS,2016-12-27,241.56
training,GS,2016-12-28,240.65
training,GS,2016-12-29,238.18
training,GS,2016-12-30,239.45
training,GS,2017-01-03,241.57
training,GS,2017-01-04,243.13
training,GS,2017-01-05,241.32
training,GS,2017-01-06,244.9
training,GS,2017-01-09,242.89
training,GS,2017-01-10,242.57
training,GS,2017-01-11,245.76
training,GS,2017-01-12,243.84
training,GS,2017-01-13,244.3
training,GS,2017-01-17,235.74
training,GS,2017-01-18,234.29
training,GS,2017-01-19,231.41
training,GS,2017-01-20,232.2
training,GS,2017-01-23,232.67
training,GS,2017-01-24,233.68
training,GS,2017-01-25,237.25
training,GS,2017-01-26,239.58
training,GS,2017-01-27,236.95
training,GS,2017-01-30,233.9
training,GS,2017-01-31,229.32
training,GS,2017-02-01,230.67
training,GS,2017-02-02,230.41
training,GS,2017-02-03,240.95
training,GS,2017-02-06,239.98
training,GS,2017-02-07,239.62
training,GS,2017-02-08,237.73
training,GS,2017-02-09,241.55
training,GS,2017-02-10,242.72
training,GS,2017-02-13,246.27
training,GS,2017-02-14,249.46
training,GS,2017-02-15,250.54
training,GS,2017-02-16,249.44
training,GS,2017-02-17,250.38
training,GS,2017-02-21,251.76
training,GS,2017-02-22,251.73
training,GS,2017-02-23,251.19
training,GS,2017-02-24,247.35
training,GS,2017-02-27,249.33
training,GS,2017-02-28,248.06
training,GS,2017-03-01,252.71
training,GS,2017-03-02,251.06
training,GS,2017-03-03,252.89
training,GS,2017-03-06,252.01
training,GS,2017-03-07,250.9
training,GS,2017-03-08,250.24
training,GS,2017-03-09,250.18
training,GS,2017-03-10,248.38
training,GS,2017-03-13,248.16
training,GS,2017-03-14,247.72
training,GS,2017-03-15,246.78
training,GS,2017-03-16,248.22
training,GS,2017-03-17,243.94
training,GS,2017-03-20,242.14
training,GS,2017-03-21,233.0
training,GS,2017-03-22,231.07
training,GS,2017-03-23,231.9
training,GS,2017-03-24,228.41
training,GS,2017-03-27,225.48
training,GS,2017-03-28,229.33
training,GS,2017-03-29,228.45
training,GS,2017-03-30,231.22
training,GS,2017-03-31,229.72
training,GS,2017-04-03,228.96
training,GS,2017-04-04,229.26
training,GS,2017-04-05,227.66
training,GS,2017-04-06,228.64
training,GS,2017-04-07,227.88
training,GS,2017-04-10,228.89
training,GS,2017-04-11,227.74
training,GS,2017-04-12,225.75
training,GS,2017-04-13,223.32
training,GS,2017-04-17,226.26
training,GS,2017-04-18,215.59
training,GS,2017-04-19,214.09
training,GS,2017-04-20,218.06
training,GS,2017-04-21,216.86
training,GS,2017-04-24,223.22
training,GS,2017-04-25,226.63
training,GS,2017-04-26,226.2
training,GS,2017-04-27,225.81
training,GS,2017-04-28,223.8
training,GS,2017-05-01,224.85
training,GS,2017-05-02,225.12
training,GS,2017-05-03,226.31
training,GS,2017-05-04,226.59
training,GS,2017-05-05,226.87
training,GS,2017-05-08,225.03
training,GS,2017-05-09,223.76
training,GS,2017-05-10,224.88
training,GS,2017-05-11,224.76
training,GS,2017-05-12,222.82
training,GS,2017-05-15,225.12
training,GS,2017-05-16,225.6
training,GS,2017-05-17,213.72
training,GS,2017-05-18,215.16
training,GS,2017-05-19,215.39
training,GS,2017-05-22,216.02
training,GS,2017-05-23,219.64
training,GS,2017-05-24,223.83
training,GS,2017-05-25,222.47
training,GS,2017-05-26,223.53
training,GS,2017-05-30,218.42
training,GS,2017-05-31,211.26
training,GS,2017-06-01,215.01
training,GS,2017-06-02,213.31
training,GS,2017-06-05,213.99
training,GS,2017-06-06,214.53
training,GS,2017-06-07,215.78
training,GS,2017-06-08,218.76
training,GS,2017-06-09,222.44
training,GS,2017-06-12,221.91
training,GS,2017-06-13,224.2
training,GS,2017-06-14,226.51
training,GS,2017-06-15,223.23
training,GS,2017-06-16,221.81
training,GS,2017-06-19,226.13
training,GS,2017-06-20,225.1
training,GS,2017-06-21,222.49
