period,ticker,origin,endpoint,horizon,origin_spot,observed,daily_variance,daily_drift,return_count,stock_feature_age,market_feature_age
2025,LLY,2025-04-07,2025-04-14,5,723.73,754.35,0.0005339274878135334,0.0,2831,0,0
2025,LLY,2025-04-08,2025-04-09,1,726.24,753.71,0.0005182692564226967,0.0,2832,0,0
2025,LLY,2025-04-08,2025-04-15,5,726.24,757.18,0.0005182692564226967,0.0,2832,0,0
2025,LLY,2025-04-09,2025-04-10,1,753.71,720.91,0.0005440739143152958,0.0,2833,0,0
2025,LLY,2025-04-09,2025-04-16,5,753.71,734.9,0.0005440739143152958,0.0,2833,0,0
2025,LLY,2025-04-10,2025-04-11,1,720.91,732.41,0.0005871415115244263,0.0,2834,0,0
2025,LLY,2025-04-10,2025-04-17,5,720.91,839.96,0.0005871415115244263,0.0,2834,0,0
2025,LLY,2025-04-11,2025-04-14,1,732.41,754.35,0.0005770412897927879,0.0,2835,0,0
2025,LLY,2025-04-11,2025-04-21,5,732.41,818.02,0.0005770412897927879,0.0,2835,0,0
2025,LLY,2025-04-14,2025-04-15,1,754.35,757.18,0.0005858658519273868,0.0,2836,0,0
2025,LLY,2025-04-14,2025-04-22,5,754.35,827.54,0.0005858658519273868,0.0,2836,0,0
2025,LLY,2025-04-15,2025-04-16,1,757.18,734.9,0.0005687105270439915,0.0,2837,0,0
2025,LLY,2025-04-15,2025-04-23,5,757.18,829.42,0.0005687105270439915,0.0,2837,0,0
2025,LLY,2025-04-16,2025-04-17,1,734.9,839.96,0.0005784095719679137,0.0,2838,0,0
2025,LLY,2025-04-16,2025-04-24,5,734.9,859.73,0.0005784095719679137,0.0,2838,0,0
2025,LLY,2025-04-17,2025-04-21,1,839.96,818.02,0.0010966851029597013,0.0,2839,0,0
2025,LLY,2025-04-17,2025-04-25,5,839.96,884.54,0.0010966851029597013,0.0,2839,0,0
2025,LLY,2025-04-21,2025-04-22,1,818.02,827.54,0.0010848003834908995,0.0,2840,0,0
2025,LLY,2025-04-21,2025-04-28,5,818.02,877.29,0.0010848003834908995,0.0,2840,0,0
2025,LLY,2025-04-22,2025-04-23,1,827.54,829.42,0.001056272775970159,0.0,2841,0,0
2025,LLY,2025-04-22,2025-04-29,5,827.54,885.2,0.001056272775970159,0.0,2841,0,0
2025,LLY,2025-04-23,2025-04-24,1,829.42,859.73,0.0010247390730494927,0.0,2842,0,0
2025,LLY,2025-04-23,2025-04-30,5,829.42,898.95,0.0010247390730494927,0.0,2842,0,0
2025,LLY,2025-04-24,2025-04-25,1,859.73,884.54,0.001032643378835131,0.0,2843,0,0
2025,LLY,2025-04-24,2025-05-01,5,859.73,794.1,0.001032643378835131,0.0,2843,0,0
2025,LLY,2025-04-25,2025-04-28,1,884.54,877.29,0.00102594504191169,0.0,2844,0,0
2025,LLY,2025-04-25,2025-05-02,5,884.54,823.62,0.00102594504191169,0.0,2844,0,0
2025,LLY,2025-04-28,2025-04-29,1,877.29,885.2,0.00099719873958093,0.0,2845,0,0
2025,LLY,2025-04-28,2025-05-05,5,877.29,821.46,0.00099719873958093,0.0,2845,0,0
2025,LLY,2025-04-29,2025-04-30,1,885.2,898.95,0.0009696998334439109,0.0,2846,0,0
2025,LLY,2025-04-29,2025-05-06,5,885.2,775.12,0.0009696998334439109,0.0,2846,0,0
2025,LLY,2025-04-30,2025-05-01,1,898.95,794.1,0.0009477364021932768,0.0,2847,0,0
2025,LLY,2025-04-30,2025-05-07,5,898.95,776.72,0.0009477364021932768,0.0,2847,0,0
2025,LLY,2025-05-01,2025-05-02,1,794.1,823.62,0.0013807183713398451,0.0,2848,0,0
2025,LLY,2025-05-01,2025-05-08,5,794.1,751.45,0.0013807183713398451,0.0,2848,0,0
2025,LLY,2025-05-02,2025-05-05,1,823.62,821.46,0.001379264014893336,0.0,2849,0,0
2025,LLY,2025-05-02,2025-05-09,5,823.62,734.57,0.001379264014893336,0.0,2849,0,0
2025,LLY,2025-05-05,2025-05-06,1,821.46,775.12,0.0013380929728721784,0.0,2850,0,0
2025,LLY,2025-05-05,2025-05-12,5,821.46,755.57,0.0013380929728721784,0.0,2850,0,0
2025,LLY,2025-05-06,2025-05-07,1,775.12,776.72,0.0013990978649703152,0.0,2851,0,0
2025,LLY,2025-05-06,2025-05-13,5,775.12,746.06,0.0013990978649703152,0.0,2851,0,0
2025,LLY,2025-05-07,2025-05-08,1,776.72,751.45,0.00135725249287619,0.0,2852,0,0
2025,LLY,2025-05-07,2025-05-14,5,776.72,715.56,0.00135725249287619,0.0,2852,0,0
2025,LLY,2025-05-08,2025-05-09,1,751.45,734.57,0.001349354086304309,0.0,2853,0,0
2025,LLY,2025-05-08,2025-05-15,5,751.45,733.29,0.001349354086304309,0.0,2853,0,0
2025,LLY,2025-05-09,2025-05-12,1,734.57,755.57,0.0013243585696976127,0.0,2854,0,0
2025,LLY,2025-05-09,2025-05-16,5,734.57,757.39,0.0013243585696976127,0.0,2854,0,0
2025,LLY,2025-05-12,2025-05-13,1,755.57,746.06,0.0013084632538686316,0.0,2855,0,0
2025,LLY,2025-05-12,2025-05-19,5,755.57,755.11,0.0013084632538686316,0.0,2855,0,0
2025,LLY,2025-05-13,2025-05-14,1,746.06,715.56,0.0012740224910012324,0.0,2856,0,0
2025,LLY,2025-05-13,2025-05-20,5,746.06,747.01,0.0012740224910012324,0.0,2856,0,0
2025,LLY,2025-05-14,2025-05-15,1,715.56,733.29,0.001288070079304586,0.0,2857,0,0
2025,LLY,2025-05-14,2025-05-21,5,715.56,724.95,0.001288070079304586,0.0,2857,0,0
2025,LLY,2025-05-15,2025-05-16,1,733.29,757.39,0.0012673999279846186,0.0,2858,0,0
2025,LLY,2025-05-15,2025-05-22,5,733.29,715.2,0.0012673999279846186,0.0,2858,0,0
2025,LLY,2025-05-16,2025-05-19,1,757.39,755.11,0.0012607484825577695,0.0,2859,0,0
2025,LLY,2025-05-16,2025-05-23,5,757.39,713.71,0.0012607484825577695,0.0,2859,0,0
2025,LLY,2025-05-19,2025-05-20,1,755.11,747.01,0.0012231987128189714,0.0,2860,0,0
2025,LLY,2025-05-19,2025-05-27,5,755.11,725.22,0.0012231987128189714,0.0,2860,0,0
2025,LLY,2025-05-20,2025-05-21,1,747.01,724.95,0.0011899921489347755,0.0,2861,0,0
2025,LLY,2025-05-20,2025-05-28,5,747.01,719.39,0.0011899921489347755,0.0,2861,0,0
2025,LLY,2025-05-21,2025-05-22,1,724.95,715.2,0.0011812489948495417,0.0,2862,0,0
2025,LLY,2025-05-21,2025-05-29,5,724.95,722.57,0.0011812489948495417,0.0,2862,0,0
2025,LLY,2025-05-22,2025-05-23,1,715.2,713.71,0.0011513118492328467,0.0,2863,0,0
2025,LLY,2025-05-22,2025-05-30,5,715.2,737.67,0.0011513118492328467,0.0,2863,0,0
2025,LLY,2025-05-23,2025-05-27,1,713.71,725.22,0.001116902973875584,0.0,2864,0,0
2025,LLY,2025-05-23,2025-06-02,5,713.71,747.12,0.001116902973875584,0.0,2864,0,0
2025,LLY,2025-05-27,2025-05-28,1,725.22,719.39,0.0010910742908839034,0.0,2865,0,0
2025,LLY,2025-05-27,2025-06-03,5,725.22,750.78,0.0010910742908839034,0.0,2865,0,0
2025,LLY,2025-05-28,2025-05-29,1,719.39,722.57,0.0010602964998847556,0.0,2866,0,0
2025,LLY,2025-05-28,2025-06-04,5,719.39,765.84,0.0010602964998847556,0.0,2866,0,0
2025,LLY,2025-05-29,2025-05-30,1,722.57,737.67,0.001029071225293324,0.0,2867,0,0
2025,LLY,2025-05-29,2025-06-05,5,722.57,765.68,0.001029071225293324,0.0,2867,0,0
2025,LLY,2025-05-30,2025-06-02,1,737.67,747.12,0.0010110317760876858,0.0,2868,0,0
2025,LLY,2025-05-30,2025-06-06,5,737.67,769.88,0.0010110317760876858,0.0,2868,0,0
2025,LLY,2025-06-02,2025-06-03,1,747.12,750.78,0.0009855618329056288,0.0,2869,0,0
2025,LLY,2025-06-02,2025-06-09,5,747.12,773.71,0.0009855618329056288,0.0,2869,0,0
2025,LLY,2025-06-03,2025-06-04,1,750.78,765.84,0.0009567114173883519,0.0,2870,0,0
2025,LLY,2025-06-03,2025-06-10,5,750.78,807.19,0.0009567114173883519,0.0,2870,0,0
2025,LLY,2025-06-04,2025-06-05,1,765.84,765.68,0.0009398433832392824,0.0,2871,0,0
2025,LLY,2025-06-04,2025-06-11,5,765.84,808.61,0.0009398433832392824,0.0,2871,0,0
2025,LLY,2025-06-05,2025-06-06,1,765.68,769.88,0.0009116493914542929,0.0,2872,0,0
2025,LLY,2025-06-05,2025-06-12,5,765.68,812.03,0.0009116493914542929,0.0,2872,0,0
2025,LLY,2025-06-06,2025-06-09,1,769.88,773.71,0.0008851976452363173,0.0,2873,0,0
2025,LLY,2025-06-06,2025-06-13,5,769.88,819.36,0.0008851976452363173,0.0,2873,0,0
2025,LLY,2025-06-09,2025-06-10,1,773.71,807.19,0.0008593804984885148,0.0,2874,0,0
2025,LLY,2025-06-09,2025-06-16,5,773.71,807.58,0.0008593804984885148,0.0,2874,0,0
2025,LLY,2025-06-10,2025-06-11,1,807.19,808.61,0.00088743513814072,0.0,2875,0,0
2025,LLY,2025-06-10,2025-06-17,5,807.19,791.24,0.00088743513814072,0.0,2875,0,0
2025,LLY,2025-06-11,2025-06-12,1,808.61,812.03,0.0008609047633404377,0.0,2876,0,0
2025,LLY,2025-06-11,2025-06-18,5,808.61,785.03,0.0008609047633404377,0.0,2876,0,0
