penalty,ticker,year,horizon,n,loss
10.0,GS,2019,5,247,0.8462704004812667
10.0,GS,2020,1,252,1.2349987761045191
10.0,GS,2020,5,248,1.393831970306118
10.0,GS,2021,1,251,0.9665757305709953
10.0,GS,2021,5,247,0.9696552387350051
10.0,GS,2022,1,250,1.0229949698530665
10.0,GS,2022,5,246,1.3077586922743503
10.0,GS,2023,1,249,1.0627071289958256
10.0,GS,2023,5,245,1.3684853237834116
10.0,GS,2024,1,251,1.2177487391824302
10.0,GS,2024,5,247,1.0705872940224799
10.0,LLY,2019,1,251,0.9342040786775241
10.0,LLY,2019,5,247,0.8636670863099576
10.0,LLY,2020,1,252,1.3752230908921985
10.0,LLY,2020,5,248,1.1831272364903584
10.0,LLY,2021,1,251,1.1938367340508733
10.0,LLY,2021,5,247,1.2886749603529015
10.0,LLY,2022,1,250,0.9538045690039848
10.0,LLY,2022,5,246,0.9186799667977389
10.0,LLY,2023,1,249,1.3363976082101807
10.0,LLY,2023,5,245,1.5436751555227122
10.0,LLY,2024,1,251,1.0980715213598522
10.0,LLY,2024,5,247,1.2459207393240184
100.0,GS,2019,1,251,0.877011458442004
100.0,GS,2019,5,247,0.8445570281059391
100.0,GS,2020,1,252,1.2344825992607735
100.0,GS,2020,5,248,1.3938160719216406
100.0,GS,2021,1,251,0.9662221003592653
100.0,GS,2021,5,247,0.9693567750396885
100.0,GS,2022,1,250,1.0228856694349702
100.0,GS,2022,5,246,1.3073185468900266
100.0,GS,2023,1,249,1.0630369814281406
100.0,GS,2023,5,245,1.367775210109427
100.0,GS,2024,1,251,1.2174956196190632
100.0,GS,2024,5,247,1.0696152514564639
100.0,LLY,2019,1,251,0.9341728745698128
100.0,LLY,2019,5,247,0.8634190859065184
100.0,LLY,2020,1,252,1.3756414764008171
100.0,LLY,2020,5,248,1.1845835253593844
100.0,LLY,2021,1,251,1.1936158652429456
100.0,LLY,2021,5,247,1.2865376566829299
100.0,LLY,2022,1,250,0.9538742770284876
100.0,LLY,2022,5,246,0.919036043830843
100.0,LLY,2023,1,249,1.3362662201425408
100.0,LLY,2023,5,245,1.5430940254895247
100.0,LLY,2024,1,251,1.0974254967091317
100.0,LLY,2024,5,247,1.246162139006649
1000.0,GS,2019,1,251,0.8769738528877965
1000.0,GS,2019,5,247,0.8443804519615662
1000.0,GS,2020,1,252,1.2344281258013479
1000.0,GS,2020,5,248,1.3938226274993304
1000.0,GS,2021,1,251,0.9661840437179346
1000.0,GS,2021,5,247,0.9693244599812668
1000.0,GS,2022,1,250,1.0228767698965768
1000.0,GS,2022,5,246,1.3072786089323516
1000.0,GS,2023,1,249,1.0630797887092072
1000.0,GS,2023,5,245,1.3677129434139164
1000.0,GS,2024,1,251,1.2174640988112142
1000.0,GS,2024,5,247,1.0695031704332576
1000.0,LLY,2019,1,251,0.9341699566248277
1000.0,LLY,2019,5,247,0.8633927619170686
1000.0,LLY,2020,1,252,1.375690812355954
1000.0,LLY,2020,5,248,1.1847607906519046
1000.0,LLY,2021,1,251,1.1935883875887527
1000.0,LLY,2021,5,247,1.2862838756165498
1000.0,LLY,2022,1,250,0.9538842474486826
1000.0,LLY,2022,5,246,0.9190848549436584
1000.0,LLY,2023,1,249,1.3362476795702316
1000.0,LLY,2023,5,245,1.5430145000790914
1000.0,LLY,2024,1,251,1.097354649534769
1000.0,LLY,2024,5,247,1.2461863491800353
inf,GS,2019,1,251,0.8769696588032169
inf,GS,2019,5,247,0.8443607751193516
inf,GS,2020,1,252,1.2344220397156778
inf,GS,2020,5,248,1.3938234699227998
inf,GS,2021,1,251,0.9661797822497323
inf,GS,2021,5,247,0.9693208301303575
inf,GS,2022,1,250,1.022875810022805
inf,GS,2022,5,246,1.3072742286886145
inf,GS,2023,1,249,1.0630846833355265
inf,GS,2023,5,245,1.3677061673474245
inf,GS,2024,1,251,1.2174605123029556
inf,GS,2024,5,247,1.0694905284081089
inf,LLY,2019,1,251,0.9341696359598486
inf,LLY,2019,5,247,0.863389819220772
inf,LLY,2020,1,252,1.3756963948946639
inf,LLY,2020,5,248,1.1847809170864394
inf,LLY,2021,1,251,1.1935852629475032
inf,LLY,2021,5,247,1.2862551494160157
inf,LLY,2022,1,250,0.9538853974338981
inf,LLY,2022,5,246,0.9190904628024736
inf,LLY,2023,1,249,1.3362455445976658
inf,LLY,2023,5,245,1.5430053665850412
inf,LLY,2024,1,251,1.0973466980923539
inf,LLY,2024,5,247,1.246189033332538
